,train_loss,val_loss,train_acc,val_acc,Epochs
0,0.7015311289578676,0.6935596484690905,0.488,0.5,1
1,0.6980719305574894,0.693179789930582,0.512,0.5,2
2,0.6941467225551605,0.693166671320796,0.506,0.5,3
3,0.7008193656802177,0.6932534724473953,0.499,0.5,4
4,0.6930022239685059,0.6931558661162853,0.502,0.5,5
5,0.6985712572932243,0.6933476496487856,0.504,0.5,6
6,0.7049529142677784,0.6931318640708923,0.469,0.5,7
7,0.6962799560278654,0.6930951122194529,0.508,0.5,8
8,0.6943024471402168,0.6935654208064079,0.522,0.5,9
9,0.6942763328552246,0.6931498125195503,0.496,0.5,10
10,0.7036150116473436,0.6932596005499363,0.476,0.5,11
11,0.7022790461778641,0.6931394170969725,0.489,0.5,12
12,0.6979585289955139,0.6933207027614117,0.5,0.5,13
13,0.7044624891132116,0.6930959448218346,0.467,0.5,14
14,0.6977484133094549,0.6933518648147583,0.489,0.5,15
15,0.6929166186600924,0.6931368988007307,0.511,0.5,16
16,0.7019303645938635,0.6931744571775198,0.481,0.5,17
17,0.701356241479516,0.6932349484413862,0.489,0.5,18
18,0.6933884769678116,0.693127054721117,0.522,0.5,19
19,0.6989027317613363,0.6936475429683924,0.499,0.5,20
20,0.7035166807472706,0.6931386794894934,0.491,0.5,21
21,0.6953113432973623,0.6931308731436729,0.519,0.5,22
22,0.7007176466286182,0.693375401198864,0.484,0.5,23
23,0.6948948465287685,0.6931395195424557,0.499,0.5,24
24,0.6984024476259947,0.6931752935051918,0.501,0.5,25
25,0.6992685366421938,0.6933592446148396,0.49,0.5,26
26,0.7031544763594866,0.6931326389312744,0.489,0.5,27
27,0.6981859672814608,0.6931389458477497,0.472,0.5,28
28,0.6947746444493532,0.6931381821632385,0.519,0.5,29
29,0.6938517447561026,0.6932403892278671,0.497,0.5,30
30,0.6985365580767393,0.6930887456983328,0.492,0.5,31
31,0.6948960665613413,0.6931800805032253,0.51,0.5,32
32,0.7000344805419445,0.6931920051574707,0.485,0.5,33
33,0.6970193274319172,0.6931499522179365,0.494,0.5,34
34,0.6947430092841387,0.6931662578135729,0.499,0.5,35
35,0.6959990076720715,0.693255539983511,0.504,0.5,36
36,0.6932045612484217,0.6934322994202375,0.511,0.5,37
37,0.7010209206491709,0.6931787673383951,0.484,0.5,38
38,0.6983872689306736,0.6931775771081448,0.498,0.5,39
39,0.6974481046199799,0.6931857671588659,0.511,0.5,40
40,0.6971936505287886,0.6931867394596338,0.502,0.5,41
41,0.6989717539399862,0.6931385975331068,0.463,0.5,42
42,0.6986598409712315,0.6930916905403137,0.485,0.5,43
43,0.6914036143571138,0.6935795787721872,0.548,0.5,44
44,0.695040849968791,0.693237042054534,0.5,0.5,45
45,0.6981492321938276,0.6932590063661337,0.476,0.5,46
46,0.6961912121623755,0.6931395661085844,0.509,0.5,47
47,0.6963218953460455,0.6931493896991014,0.512,0.5,48
48,0.6952573861926794,0.6932552978396416,0.511,0.5,49
49,0.6964672096073627,0.6931524910032749,0.497,0.5,50
