,train_loss,val_loss,train_acc,val_acc,Epochs
0,0.6618013717234135,0.6796520389616489,0.657,0.575,1
1,0.5421839626505971,0.707945479080081,0.769,0.581,2
2,0.510344703681767,0.7032547183334827,0.791,0.59,3
3,0.49311491940170527,0.7301662564277649,0.812,0.573,4
4,0.4827785072848201,0.7464902698993683,0.826,0.555,5
5,0.48164268117398024,0.7300577368587255,0.836,0.577,6
6,0.4877412971109152,0.7728913314640522,0.828,0.536,7
7,0.4773230133578181,0.7177942898124456,0.838,0.592,8
8,0.48734117951244116,0.7731724064797163,0.824,0.539,9
9,0.4728898508474231,0.7317691966891289,0.834,0.577,10
10,0.47370841167867184,0.7138609942048788,0.838,0.594,11
11,0.47634298354387283,0.7314377930015326,0.831,0.583,12
12,0.4710324788466096,0.7279734406620264,0.837,0.585,13
13,0.4723947402089834,0.7362653892487288,0.843,0.574,14
14,0.47922229301184416,0.7406912110745907,0.833,0.566,15
15,0.4665730455890298,0.748782005161047,0.841,0.562,16
16,0.47017024271190166,0.7042955700308084,0.842,0.603,17
17,0.4666985096409917,0.6584547609090805,0.846,0.641,18
18,0.47410561237484217,0.7437556963413954,0.839,0.57,19
19,0.46333684492856264,0.7048572842031717,0.851,0.6,20
20,0.47635791450738907,0.7341398149728775,0.842,0.576,21
21,0.45780399162322283,0.7160436622798443,0.85,0.591,22
22,0.4531237008050084,0.7208222504705191,0.855,0.592,23
23,0.4589433539658785,0.7103917375206947,0.854,0.591,24
24,0.45013055205345154,0.7359537659212947,0.862,0.568,25
25,0.45217605773359537,0.7074867859482765,0.861,0.603,26
26,0.4517673971131444,0.7278144638985395,0.86,0.581,27
27,0.4431192250922322,0.7204603124409914,0.864,0.593,28
28,0.44426269363611937,0.7296805009245872,0.87,0.575,29
29,0.44170905090868473,0.7146773599088192,0.87,0.59,30
30,0.43079068791121244,0.7145320810377598,0.878,0.599,31
31,0.4362283842638135,0.7423260323703289,0.873,0.571,32
32,0.44407961890101433,0.7377280797809362,0.869,0.561,33
33,0.4458622355014086,0.7382317427545786,0.856,0.569,34
34,0.43356054928153753,0.7312766462564468,0.879,0.576,35
35,0.42598529253154993,0.7227188535034657,0.882,0.591,36
36,0.42869144957512617,0.7351975403726101,0.885,0.579,37
37,0.4192792661488056,0.719691401347518,0.892,0.589,38
38,0.4302234370261431,0.6915544643998146,0.885,0.608,39
39,0.42601960990577936,0.7480373121798038,0.888,0.558,40
40,0.4250413356348872,0.7133483961224556,0.891,0.597,41
41,0.42145094834268093,0.7449663728475571,0.887,0.566,42
42,0.4215232105925679,0.7312542628496885,0.891,0.585,43
43,0.4169946759939194,0.7178390864282846,0.893,0.589,44
44,0.42025949340313673,0.71138527803123,0.892,0.591,45
45,0.42754308599978685,0.7610511314123869,0.886,0.555,46
46,0.42080004792660475,0.7470935229212046,0.896,0.569,47
47,0.425467467866838,0.7418381366878748,0.886,0.572,48
48,0.4206071672961116,0.7083671297878027,0.892,0.601,49
49,0.4116812814027071,0.7353078704327345,0.899,0.575,50
