,accuracy,loss,top-5-accuracy,val_accuracy,val_loss,val_top-5-accuracy,epoch
0,0.49761903285980225,11.728408813476562,1.0,0.5011110901832581,1.909203052520752,1.0,0
1,0.5514285564422607,2.122136354446411,1.0,0.5011110901832581,1.4469608068466187,1.0,1
2,0.5428571701049805,1.4341398477554321,1.0,0.6255555748939514,0.6341080665588379,1.0,2
3,0.5995237827301025,0.8388743996620178,1.0,0.6322222352027893,0.6513363122940063,1.0,3
4,0.5971428751945496,0.7475503087043762,1.0,0.754444420337677,0.6269968748092651,1.0,4
5,0.6490476131439209,0.6784530878067017,1.0,0.7111111283302307,0.6115303635597229,1.0,5
6,0.6299999952316284,0.6782113313674927,1.0,0.745555579662323,0.6233546733856201,1.0,6
7,0.6361904740333557,0.6507400274276733,1.0,0.7122222185134888,0.6058197617530823,1.0,7
8,0.6580952405929565,0.6330776810646057,1.0,0.7522222399711609,0.5933140516281128,1.0,8
9,0.6519047617912292,0.645825982093811,1.0,0.7511110901832581,0.5746580958366394,1.0,9
10,0.6580952405929565,0.6235847473144531,1.0,0.7355555295944214,0.5674569606781006,1.0,10
11,0.6680952310562134,0.6190139055252075,1.0,0.746666669845581,0.5305221080780029,1.0,11
12,0.6861904859542847,0.5927443504333496,1.0,0.7477777600288391,0.5307018160820007,1.0,12
13,0.6904761791229248,0.592540979385376,1.0,0.7488889098167419,0.5344061851501465,1.0,13
14,0.6866666674613953,0.594846785068512,1.0,0.7333333492279053,0.5463536381721497,1.0,14
15,0.6899999976158142,0.5958178639411926,1.0,0.7277777791023254,0.5656467080116272,1.0,15
16,0.6800000071525574,0.5933092832565308,1.0,0.7588889002799988,0.5265961289405823,1.0,16
17,0.7209523916244507,0.5553423166275024,1.0,0.7477777600288391,0.50318443775177,1.0,17
18,0.7090476155281067,0.5682064294815063,1.0,0.7733333110809326,0.5191875696182251,1.0,18
19,0.7233333587646484,0.5491843223571777,1.0,0.7611111402511597,0.5359588265419006,1.0,19
20,0.7076190710067749,0.565791130065918,1.0,0.7477777600288391,0.5210439562797546,1.0,20
21,0.7400000095367432,0.5397193431854248,1.0,0.7844444513320923,0.5478215217590332,1.0,21
22,0.7142857313156128,0.5591781139373779,1.0,0.7777777910232544,0.5325566530227661,1.0,22
23,0.7257142663002014,0.5416244268417358,1.0,0.7433333396911621,0.5372574925422668,1.0,23
24,0.7180952429771423,0.5580761432647705,1.0,0.7799999713897705,0.48789361119270325,1.0,24
25,0.7504761815071106,0.5322394371032715,1.0,0.7811111211776733,0.48032817244529724,1.0,25
26,0.7371428608894348,0.5394018292427063,1.0,0.7888888716697693,0.49739500880241394,1.0,26
27,0.7561904788017273,0.517795205116272,1.0,0.7633333206176758,0.5143253207206726,1.0,27
28,0.711904764175415,0.5519747734069824,1.0,0.7866666913032532,0.4899999797344208,1.0,28
29,0.7352380752563477,0.5354630351066589,1.0,0.7655555605888367,0.4664669334888458,1.0,29
30,0.7304762005805969,0.5279226899147034,1.0,0.7788888812065125,0.4724411070346832,1.0,30
31,0.7447618842124939,0.5262812376022339,1.0,0.7699999809265137,0.5094038248062134,1.0,31
32,0.746666669845581,0.5141332745552063,1.0,0.7888888716697693,0.49446964263916016,1.0,32
33,0.7519047856330872,0.5279231667518616,1.0,0.7922222018241882,0.48128846287727356,1.0,33
34,0.7571428418159485,0.49552619457244873,1.0,0.7988888621330261,0.4518307149410248,1.0,34
35,0.760952353477478,0.5118116736412048,1.0,0.7933333516120911,0.47598394751548767,1.0,35
36,0.761904776096344,0.4999130964279175,1.0,0.7833333611488342,0.4942932724952698,1.0,36
37,0.7633333206176758,0.5059926509857178,1.0,0.7922222018241882,0.4764377772808075,1.0,37
38,0.7661904692649841,0.49957215785980225,1.0,0.7911111116409302,0.46143320202827454,1.0,38
39,0.772857129573822,0.4838932752609253,1.0,0.7755555510520935,0.49141061305999756,1.0,39
40,0.7685714364051819,0.4899525046348572,1.0,0.8033333420753479,0.46153929829597473,1.0,40
41,0.7638095021247864,0.4881393015384674,1.0,0.7888888716697693,0.46570536494255066,1.0,41
42,0.7576190233230591,0.499115914106369,1.0,0.800000011920929,0.43514561653137207,1.0,42
43,0.7752380967140198,0.49126219749450684,1.0,0.7955555319786072,0.4731611907482147,1.0,43
44,0.7742857336997986,0.47856569290161133,1.0,0.79666668176651,0.4510958790779114,1.0,44
45,0.7895237803459167,0.4639667272567749,1.0,0.7799999713897705,0.4774375259876251,1.0,45
46,0.7833333611488342,0.4638121724128723,1.0,0.8188889026641846,0.44693613052368164,1.0,46
47,0.7814285755157471,0.4764181673526764,1.0,0.8055555820465088,0.45192092657089233,1.0,47
48,0.7795237898826599,0.4697476327419281,1.0,0.8144444227218628,0.4456026256084442,1.0,48
49,0.7699999809265137,0.4827863574028015,1.0,0.7911111116409302,0.47511595487594604,1.0,49
